CacheType,Carga,CacheSize,Hits,Misses,Replacements,AverageAccessTime,TotalReplacementCost
LRU,Sequencial,3,0,25,22,220548.0,22
FIFO,Sequencial,3,0,25,22,157990.0,22
LRU,Aleatória,3,10,15,12,8546.0,12
FIFO,Aleatória,3,12,13,10,2142.0,10
LRU,Hotspots,3,19,6,3,2662.0,3
FIFO,Hotspots,3,18,7,4,2948.0,4
LRU,Sequencial,5,5,20,15,2522.0,15
FIFO,Sequencial,5,5,20,15,1056.0,15
LRU,Aleatória,5,16,9,4,724.0,4
FIFO,Aleatória,5,11,14,9,3980.0,9
LRU,Hotspots,5,20,5,0,1232.0,0
FIFO,Hotspots,5,20,5,0,446.0,0
LRU,Sequencial,7,18,7,0,1044.0,0
FIFO,Sequencial,7,18,7,0,462.0,0
LRU,Aleatória,7,18,7,0,602.0,0
FIFO,Aleatória,7,18,7,0,456.0,0
LRU,Hotspots,7,18,7,0,592.0,0
FIFO,Hotspots,7,21,4,0,340.0,0
LRU,Sequencial,10,18,7,0,69364.0,0
FIFO,Sequencial,10,18,7,0,550.0,0
LRU,Aleatória,10,18,7,0,2416.0,0
FIFO,Aleatória,10,18,7,0,2588.0,0
LRU,Hotspots,10,19,6,0,372.0,0
FIFO,Hotspots,10,19,6,0,324.0,0
